2025-06-17 14:02:04,520 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 14:02:04,521 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_140204.log
2025-06-17 14:02:04,521 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 14:02:04,522 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 14:02:04,522 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 100
2025-06-17 14:02:04,522 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [250, 2500, 250]
2025-06-17 14:02:04,523 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 14:02:04,523 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 14:02:04,524 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=128
2025-06-17 14:02:04,524 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 14:02:04,524 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetCCP with polynomial order of 2, and 2 number of polynomial blocks
2025-06-17 14:02:04,525 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=100 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 100)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.876692e+01 | ‖ω‖₁=9.929571e+01
  λ=1.440e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=3.968354e-01 | ‖ω‖₁=2.309750e+01
  λ=1.440e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=6.866630e-01 | ‖ω‖₁=1.249953e+01
  λ=1.440e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.888820e+00 | ‖ω‖₁=5.491142e+00
  λ=1.440e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.139468e+00 | ‖ω‖₁=4.760973e+00
  → at λ=1.440e-03:  r(λ)=100,  rel_err=1.990384e-01

-- Path iteration 4, λ = 1.728e-03   (r(λ) prev = 100)
  λ=1.728e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.828761e+01 | ‖ω‖₁=9.897452e+01
  λ=1.728e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=4.729790e-01 | ‖ω‖₁=8.593514e+01
  λ=1.728e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=4.753898e-01 | ‖ω‖₁=7.321406e+01
  λ=1.728e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.461835e-01 | ‖ω‖₁=6.023670e+01
  λ=1.728e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.531381e-01 | ‖ω‖₁=4.750124e+01
  λ=1.728e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.852323e-01 | ‖ω‖₁=3.448700e+01
  λ=1.728e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.370645e-01 | ‖ω‖₁=2.178579e+01
  λ=1.728e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.040104e+00 | ‖ω‖₁=9.402059e+00
  λ=1.728e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=7.330404e-01 | ‖ω‖₁=4.907969e+00
  λ=1.728e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=6.018488e-01 | ‖ω‖₁=4.621601e+00
  λ=1.728e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=5.161125e-01 | ‖ω‖₁=4.474080e+00
  → at λ=1.728e-03:  r(λ)=100,  rel_err=1.346779e-01

-- Path iteration 5, λ = 2.074e-03   (r(λ) prev = 100)
  λ=2.074e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.928581e+01 | ‖ω‖₁=9.882819e+01
  λ=2.074e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=6.638166e-01 | ‖ω‖₁=8.338276e+01
  λ=2.074e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=5.958461e-01 | ‖ω‖₁=6.796662e+01
  λ=2.074e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=3.244037e-01 | ‖ω‖₁=5.225510e+01
  λ=2.074e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.226222e-01 | ‖ω‖₁=3.682354e+01
  λ=2.074e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=3.468429e-01 | ‖ω‖₁=2.126749e+01
  λ=2.074e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=8.026618e-01 | ‖ω‖₁=7.518447e+00
  λ=2.074e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=6.412778e-01 | ‖ω‖₁=4.793940e+00
  λ=2.074e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=5.053493e-01 | ‖ω‖₁=4.554829e+00
  λ=2.074e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=4.699554e-01 | ‖ω‖₁=4.398253e+00
  λ=2.074e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=4.387231e-01 | ‖ω‖₁=4.278097e+00
  → at λ=2.074e-03:  r(λ)=100,  rel_err=1.244001e-01

-- Path iteration 6, λ = 2.488e-03   (r(λ) prev = 100)
  λ=2.488e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.688055e+01 | ‖ω‖₁=9.865827e+01
  λ=2.488e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=8.882254e-01 | ‖ω‖₁=8.031962e+01
  λ=2.488e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.709356e-01 | ‖ω‖₁=6.180000e+01
  λ=2.488e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.492465e-01 | ‖ω‖₁=4.294773e+01
  λ=2.488e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.330005e-01 | ‖ω‖₁=2.459040e+01
  λ=2.488e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.147182e+00 | ‖ω‖₁=7.455909e+00
  λ=2.488e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.004595e-01 | ‖ω‖₁=4.687129e+00
  λ=2.488e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.217606e-01 | ‖ω‖₁=4.458767e+00
  λ=2.488e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=3.710269e-01 | ‖ω‖₁=4.306629e+00
  λ=2.488e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=3.538190e-01 | ‖ω‖₁=4.180685e+00
  λ=2.488e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.371526e-01 | ‖ω‖₁=4.074249e+00
  → at λ=2.488e-03:  r(λ)=100,  rel_err=1.091010e-01

-- Path iteration 7, λ = 2.986e-03   (r(λ) prev = 100)
  λ=2.986e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.402833e+01 | ‖ω‖₁=9.839877e+01
  λ=2.986e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.308210e+00 | ‖ω‖₁=7.643825e+01
  λ=2.986e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=8.347470e-01 | ‖ω‖₁=5.395420e+01
  λ=2.986e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=6.152330e-01 | ‖ω‖₁=3.125005e+01
  λ=2.986e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=9.389369e-01 | ‖ω‖₁=9.683345e+00
  λ=2.986e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=9.599548e-01 | ‖ω‖₁=4.668613e+00
  λ=2.986e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=7.210603e-01 | ‖ω‖₁=4.410248e+00
  λ=2.986e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=6.471045e-01 | ‖ω‖₁=4.238695e+00
  λ=2.986e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=5.843234e-01 | ‖ω‖₁=4.102065e+00
  λ=2.986e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=5.607699e-01 | ‖ω‖₁=3.982850e+00
  λ=2.986e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=5.368018e-01 | ‖ω‖₁=3.876563e+00
  → at λ=2.986e-03:  r(λ)=100,  rel_err=1.377599e-01

-- Path iteration 8, λ = 3.583e-03   (r(λ) prev = 100)
  λ=3.583e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.792432e+01 | ‖ω‖₁=9.814232e+01
  λ=3.583e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.692999e+00 | ‖ω‖₁=7.205618e+01
  λ=3.583e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=4.327294e-01 | ‖ω‖₁=4.520123e+01
  λ=3.583e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.768075e-01 | ‖ω‖₁=1.827974e+01
  λ=3.583e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=7.034003e-01 | ‖ω‖₁=4.788127e+00
  λ=3.583e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.342570e-01 | ‖ω‖₁=4.434287e+00
  λ=3.583e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.436373e-01 | ‖ω‖₁=4.233367e+00
  λ=3.583e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.083161e-01 | ‖ω‖₁=4.074485e+00
  λ=3.583e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=3.768293e-01 | ‖ω‖₁=3.940925e+00
  λ=3.583e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=3.646125e-01 | ‖ω‖₁=3.820662e+00
  λ=3.583e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.515797e-01 | ‖ω‖₁=3.712476e+00
  → at λ=3.583e-03:  r(λ)=100,  rel_err=1.114782e-01

-- Path iteration 9, λ = 4.300e-03   (r(λ) prev = 100)
  λ=4.300e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.913884e+01 | ‖ω‖₁=9.783984e+01
  λ=4.300e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.365752e+00 | ‖ω‖₁=6.665179e+01
  λ=4.300e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=6.083842e-01 | ‖ω‖₁=3.437247e+01
  λ=4.300e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.027674e+00 | ‖ω‖₁=5.476013e+00
  λ=4.300e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=7.656111e-01 | ‖ω‖₁=4.454735e+00
  λ=4.300e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=6.233562e-01 | ‖ω‖₁=4.203742e+00
  λ=4.300e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.196630e-01 | ‖ω‖₁=4.019783e+00
  λ=4.300e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.799214e-01 | ‖ω‖₁=3.864252e+00
  λ=4.300e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.442932e-01 | ‖ω‖₁=3.730244e+00
  λ=4.300e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=4.319464e-01 | ‖ω‖₁=3.608819e+00
  λ=4.300e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=4.171574e-01 | ‖ω‖₁=3.498684e+00
  → at λ=4.300e-03:  r(λ)=100,  rel_err=1.214695e-01

-- Path iteration 10, λ = 5.160e-03   (r(λ) prev = 100)
  λ=5.160e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.143859e+01 | ‖ω‖₁=9.746857e+01
  λ=5.160e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.318734e+00 | ‖ω‖₁=6.015967e+01
  λ=5.160e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.095203e+00 | ‖ω‖₁=2.136914e+01
  λ=5.160e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.595298e+00 | ‖ω‖₁=4.591619e+00
  λ=5.160e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=9.948314e-01 | ‖ω‖₁=4.247011e+00
  λ=5.160e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=8.493355e-01 | ‖ω‖₁=4.018486e+00
  λ=5.160e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=7.374162e-01 | ‖ω‖₁=3.837983e+00
  λ=5.160e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=6.904506e-01 | ‖ω‖₁=3.679936e+00
  λ=5.160e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=6.455123e-01 | ‖ω‖₁=3.540345e+00
  λ=5.160e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=6.308697e-01 | ‖ω‖₁=3.412407e+00
  λ=5.160e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=6.123713e-01 | ‖ω‖₁=3.295861e+00
  → at λ=5.160e-03:  r(λ)=100,  rel_err=1.472084e-01

-- Path iteration 11, λ = 6.192e-03   (r(λ) prev = 100)
  λ=6.192e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.652566e+01 | ‖ω‖₁=9.702403e+01
  λ=6.192e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.691845e+00 | ‖ω‖₁=5.262083e+01
  λ=6.192e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.716071e+00 | ‖ω‖₁=7.357099e+00
  λ=6.192e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=9.524544e-01 | ‖ω‖₁=4.343842e+00
  λ=6.192e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=6.577804e-01 | ‖ω‖₁=4.057056e+00
  λ=6.192e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.595637e-01 | ‖ω‖₁=3.838176e+00
  λ=6.192e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.818395e-01 | ‖ω‖₁=3.658200e+00
  λ=6.192e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.489339e-01 | ‖ω‖₁=3.497875e+00
  λ=6.192e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.174705e-01 | ‖ω‖₁=3.355400e+00
  λ=6.192e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=4.082176e-01 | ‖ω‖₁=3.223024e+00
  λ=6.192e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.958674e-01 | ‖ω‖₁=3.101304e+00
  → at λ=6.192e-03:  r(λ)=100,  rel_err=1.183303e-01

-- Path iteration 12, λ = 7.430e-03   (r(λ) prev = 100)
  λ=7.430e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.603549e+01 | ‖ω‖₁=9.646024e+01
  λ=7.430e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=4.733861e+00 | ‖ω‖₁=4.334063e+01
  λ=7.430e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.298802e+00 | ‖ω‖₁=4.624312e+00
  λ=7.430e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.213973e+00 | ‖ω‖₁=4.124760e+00
  λ=7.430e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=8.218055e-01 | ‖ω‖₁=3.844583e+00
  λ=7.430e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=6.803490e-01 | ‖ω‖₁=3.621217e+00
  λ=7.430e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.760051e-01 | ‖ω‖₁=3.432441e+00
  λ=7.430e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=5.381551e-01 | ‖ω‖₁=3.263261e+00
  λ=7.430e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=5.067766e-01 | ‖ω‖₁=3.111504e+00
  λ=7.430e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=5.002525e-01 | ‖ω‖₁=2.970649e+00
  λ=7.430e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=4.897452e-01 | ‖ω‖₁=2.840436e+00
  → at λ=7.430e-03:  r(λ)=100,  rel_err=1.316596e-01

-- Path iteration 13, λ = 8.916e-03   (r(λ) prev = 100)
  λ=8.916e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.786136e+01 | ‖ω‖₁=9.579326e+01
  λ=8.916e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=8.004350e+00 | ‖ω‖₁=3.204639e+01
  λ=8.916e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.938346e+00 | ‖ω‖₁=4.355172e+00
  λ=8.916e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.324974e+00 | ‖ω‖₁=3.932693e+00
  λ=8.916e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.514652e+00 | ‖ω‖₁=3.652305e+00
  λ=8.916e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.250710e+00 | ‖ω‖₁=3.420718e+00
  λ=8.916e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.023632e+00 | ‖ω‖₁=3.222092e+00
  λ=8.916e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=9.293371e-01 | ‖ω‖₁=3.042603e+00
  λ=8.916e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=8.482627e-01 | ‖ω‖₁=2.880532e+00
  λ=8.916e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=8.235727e-01 | ‖ω‖₁=2.728768e+00
  λ=8.916e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=7.953884e-01 | ‖ω‖₁=2.587979e+00
  → at λ=8.916e-03:  r(λ)=100,  rel_err=1.677422e-01

-- Path iteration 14, λ = 1.070e-02   (r(λ) prev = 100)
  λ=1.070e-02 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.870880e+01 | ‖ω‖₁=9.499149e+01
  λ=1.070e-02 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.530077e+01 | ‖ω‖₁=1.863372e+01
  λ=1.070e-02 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.242150e+01 | ‖ω‖₁=4.073515e+00
  λ=1.070e-02 | Epoch  30 | lr=5.0000e-04 | Recon MSE=7.489271e+00 | ‖ω‖₁=3.668230e+00
  λ=1.070e-02 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.526480e+00 | ‖ω‖₁=3.376137e+00
  λ=1.070e-02 | Epoch  50 | lr=2.5000e-04 | Recon MSE=3.694615e+00 | ‖ω‖₁=3.129596e+00
  λ=1.070e-02 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.984634e+00 | ‖ω‖₁=2.917801e+00
  λ=1.070e-02 | Epoch  70 | lr=1.2500e-04 | Recon MSE=2.656129e+00 | ‖ω‖₁=2.725286e+00
  λ=1.070e-02 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.416418e+00 | ‖ω‖₁=2.550120e+00
  λ=1.070e-02 | Epoch  90 | lr=6.2500e-05 | Recon MSE=2.328230e+00 | ‖ω‖₁=2.386945e+00
  λ=1.070e-02 | Epoch 100 | lr=3.1250e-05 | Recon MSE=2.242510e+00 | ‖ω‖₁=2.235335e+00
  → at λ=1.070e-02:  r(λ)=100,  rel_err=2.817223e-01

-- Path iteration 15, λ = 1.284e-02   (r(λ) prev = 100)
  λ=1.284e-02 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.836116e+01 | ‖ω‖₁=9.407976e+01
  λ=1.284e-02 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.460228e+01 | ‖ω‖₁=5.230723e+00
  λ=1.284e-02 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.723831e+01 | ‖ω‖₁=3.886443e+00
  λ=1.284e-02 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.155255e+01 | ‖ω‖₁=3.478259e+00
  λ=1.284e-02 | Epoch  40 | lr=2.5000e-04 | Recon MSE=7.843913e+00 | ‖ω‖₁=3.171107e+00
  λ=1.284e-02 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.815713e+00 | ‖ω‖₁=2.911501e+00
  λ=1.284e-02 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.434941e+00 | ‖ω‖₁=2.684310e+00
  λ=1.284e-02 | Epoch  70 | lr=1.2500e-04 | Recon MSE=3.939078e+00 | ‖ω‖₁=2.476580e+00
  λ=1.284e-02 | Epoch  80 | lr=6.2500e-05 | Recon MSE=3.565189e+00 | ‖ω‖₁=2.287641e+00
  λ=1.284e-02 | Epoch  90 | lr=6.2500e-05 | Recon MSE=3.414392e+00 | ‖ω‖₁=2.111228e+00
  λ=1.284e-02 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.272405e+00 | ‖ω‖₁=1.947133e+00
  → at λ=1.284e-02:  r(λ)=100,  rel_err=3.402704e-01

-- Path iteration 16, λ = 1.541e-02   (r(λ) prev = 100)
  λ=1.541e-02 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.584381e+01 | ‖ω‖₁=9.292893e+01
  λ=1.541e-02 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.559900e+01 | ‖ω‖₁=4.387273e+00
  λ=1.541e-02 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.014423e+01 | ‖ω‖₁=3.653524e+00
  λ=1.541e-02 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.378180e+01 | ‖ω‖₁=3.242065e+00
  λ=1.541e-02 | Epoch  40 | lr=2.5000e-04 | Recon MSE=9.206567e+00 | ‖ω‖₁=2.924535e+00
  λ=1.541e-02 | Epoch  50 | lr=2.5000e-04 | Recon MSE=7.433419e+00 | ‖ω‖₁=2.648469e+00
